Season Start,Season End,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,Salary,Salary w/ Inflation
2010,2011,Cleveland Cavaliers,95.5,35.2,81.1,43.4,6.2,18.2,34.2,18.9,25.3,74.5,10.4,29.9,40.3,21.0,14.2,6.6,4.2,6.0,"$92,522,306 ","$98,328,502 "
2011,2012,Cleveland Cavaliers,93.0,34.3,81.2,42.2,6.7,19.3,34.6,17.8,24.9,71.6,12.7,29.5,42.3,19.8,15.4,7.1,4.0,6.2,"$90,466,801 ","$94,598,740 "
2012,2013,Cleveland Cavaliers,96.5,36.5,84.2,43.4,6.7,19.3,34.6,16.8,22.3,75.6,12.2,28.8,41.0,20.7,14.0,7.9,4.1,6.8,"$91,298,233 ","$106,872,938 "
2013,2014,Cleveland Cavaliers,98.2,37.0,84.8,43.7,7.1,20.0,35.6,17.0,22.7,75.1,12.1,32.1,44.1,21.2,14.2,7.1,3.7,5.6,"$83,398,534 ","$99,038,674 "
2014,2015,Cleveland Cavaliers,103.1,37.7,82.2,45.8,10.1,27.5,36.7,17.7,23.6,75.1,11.1,31.9,43.0,22.1,14.3,7.4,4.1,4.5,"$53,990,021 ","$63,446,718 "
2015,2016,Cleveland Cavaliers,104.3,38.7,84.0,46.0,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,"$64,875,599 ","$73,619,002 "
2016,2017,Cleveland Cavaliers,110.3,39.9,84.9,47.0,13.0,33.9,38.4,17.5,23.3,74.8,9.3,34.4,43.7,22.7,13.7,6.6,4.0,4.3,"$54,472,190 ","$60,801,765 "
2017,2018,Cleveland Cavaliers,110.9,40.4,84.8,47.6,12.0,32.1,37.2,18.1,23.3,77.9,8.5,33.7,42.1,23.4,13.7,7.1,3.8,4.1,"$66,654,061 ","$73,116,388 "
2008,2009,Dallas Mavericks,101.7,38.1,82.6,46.2,7.0,19.9,35.0,18.5,22.6,81.9,11.1,31.6,42.7,21.7,12.7,7.2,5.2,4.1,"$82,592,827 ","$88,761,039 "
2009,2010,Dallas Mavericks,102.0,38.3,82.4,46.4,6.8,18.3,37.2,18.6,22.8,81.6,10.2,31.5,41.7,23.4,12.9,7.6,5.5,4.1,"$108,300,458 ","$116,244,698 "
2010,2011,Dallas Mavericks,100.2,37.4,78.8,47.5,7.9,21.6,36.5,17.5,22.6,77.7,9.5,31.9,41.4,23.8,14.0,6.8,4.3,3.7,"$128,522,489 ","$136,587,864 "
2011,2012,Dallas Mavericks,95.8,36.3,82.0,44.3,7.5,22.2,33.9,15.6,20.2,77.1,10.1,32.7,42.8,20.9,14.0,8.6,5.1,4.0,"$137,722,926 ","$144,013,233 "
2012,2013,Dallas Mavericks,101.1,38.8,84.0,46.2,7.4,19.9,37.2,16.1,20.4,79.3,9.4,32.6,41.9,23.2,14.0,7.9,5.5,4.1,"$95,045,559 ","$111,259,524 "
2013,2014,Dallas Mavericks,104.8,39.6,83.6,47.4,8.8,22.9,38.4,16.8,21.1,79.5,10.2,30.7,40.9,23.6,13.5,8.6,4.3,3.5,"$88,916,075 ","$105,590,950 "
2014,2015,Dallas Mavericks,105.2,39.7,85.8,46.3,8.9,25.4,35.2,16.9,22.5,75.2,10.5,31.8,42.3,22.5,13.0,8.1,4.5,3.8,"$85,409,890 ","$100,369,985 "
2015,2016,Dallas Mavericks,102.3,37.4,84.1,44.4,9.8,28.6,34.4,17.7,22.3,79.4,9.2,33.9,43.1,22.1,12.8,6.8,3.7,4.4,"$77,180,233 ","$87,581,958 "
2016,2017,Dallas Mavericks,97.9,36.2,82.3,44.0,10.7,30.2,35.5,14.8,18.5,80.1,7.9,30.7,38.6,20.8,11.9,7.5,3.7,3.4,"$69,766,571 ","$77,873,331 "
2017,2018,Dallas Mavericks,102.3,38.1,85.9,44.4,11.8,32.8,36.0,14.2,18.7,76.3,8.1,33.1,41.3,22.7,12.3,7.0,3.8,4.5,"$75,012,158 ","$82,284,830 "
2008,2009,Denver Nuggets,104.3,37.3,79.4,47.0,6.7,18.0,37.1,23.1,30.3,76.0,11.0,30.6,41.6,22.2,15.3,8.7,6.0,5.5,"$84,820,225 ","$91,154,782 "
2009,2010,Denver Nuggets,106.5,38.1,81.4,46.8,6.6,18.5,35.9,23.6,30.6,77.2,10.8,30.5,41.4,21.0,13.9,8.3,5.1,5.3,"$75,397,067 ","$80,927,720 "
2010,2011,Denver Nuggets,107.5,38.4,80.6,47.6,8.1,20.8,38.8,22.7,29.6,76.5,9.6,32.3,42.0,22.1,14.1,7.4,4.3,6.0,"$102,354,966 ","$108,778,205 "
2011,2012,Denver Nuggets,104.1,39.0,81.9,47.6,6.6,19.9,33.2,19.6,26.7,73.5,11.2,31.9,43.1,24.0,15.4,8.2,5.0,6.7,"$85,440,245 ","$89,342,606 "
2012,2013,Denver Nuggets,106.1,40.7,85.2,47.8,6.4,18.5,34.3,18.4,26.2,70.1,13.3,31.7,45.0,24.4,15.3,9.3,6.5,6.8,"$70,121,003 ","$82,083,050 "
2013,2014,Denver Nuggets,104.4,38.4,85.9,44.7,8.6,23.9,35.8,19.1,26.3,72.6,12.3,33.1,45.4,22.4,15.9,7.5,5.6,5.6,"$74,935,538 ","$88,988,573 "
2014,2015,Denver Nuggets,101.5,37.8,87.3,43.3,8.0,24.8,32.5,17.8,24.3,73.4,12.3,32.4,44.7,21.8,14.2,7.8,4.5,6.1,"$68,019,290 ","$79,933,307 "
2015,2016,Denver Nuggets,101.9,37.7,85.4,44.2,8.0,23.7,33.8,18.5,24.1,76.6,11.5,33.1,44.6,22.7,14.7,7.4,4.8,6.3,"$58,553,173 ","$66,444,493 "
2016,2017,Denver Nuggets,111.7,41.2,87.7,46.9,10.6,28.8,36.8,18.7,24.2,77.4,11.8,34.6,46.4,25.3,15.0,6.9,3.9,4.9,"$63,444,254 ","$70,816,373 "
2017,2018,Denver Nuggets,110.0,40.7,86.6,47.0,11.5,30.9,37.1,17.1,22.3,76.7,11.0,33.5,44.5,25.1,15.0,7.6,4.9,4.8,"$65,782,065 ","$72,159,850 "
2008,2009,Detroit Pistons,94.2,36.4,80.0,45.4,4.6,13.2,34.9,16.9,22.5,75.1,11.6,29.9,41.4,20.6,11.9,6.0,4.6,4.2,"$56,820,307 ","$61,063,768 "
2009,2010,Detroit Pistons,94.0,35.9,80.5,44.5,4.6,14.5,31.4,17.7,24.4,72.8,12.8,27.3,40.2,19.4,13.4,7.3,3.8,4.9,"$72,589,023 ","$77,913,691 "
2010,2011,Detroit Pistons,97.0,37.3,81.1,46.0,5.8,15.3,37.6,16.7,22.6,73.7,11.4,27.3,38.6,21.1,13.0,7.3,4.0,4.6,"$83,836,460 ","$89,097,579 "
2011,2012,Detroit Pistons,90.9,34.7,79.3,43.8,4.8,13.9,34.6,16.6,22.1,75.2,11.7,28.5,40.3,18.7,15.7,7.0,4.2,5.3,"$107,543,599 ","$112,455,503 "
2012,2013,Detroit Pistons,94.9,36.3,81.0,44.9,6.3,17.6,35.6,15.9,22.8,69.9,12.1,30.0,42.1,21.2,15.1,7.0,4.9,5.8,"$71,434,174 ","$83,620,237 "
2013,2014,Detroit Pistons,101.0,38.8,86.9,44.7,6.2,19.3,32.1,17.3,25.7,67.0,14.6,30.8,45.4,20.9,14.5,8.4,4.8,4.9,"$60,185,833 ","$71,472,780 "
2014,2015,Detroit Pistons,98.5,37.1,85.8,43.2,8.6,24.9,34.4,15.8,22.4,70.3,12.8,32.1,44.9,21.6,13.4,7.6,4.7,4.8,"$65,517,821 ","$76,993,690 "
2015,2016,Detroit Pistons,102.0,37.9,86.4,43.9,9.0,26.2,34.5,17.1,25.5,66.8,12.5,33.9,46.3,19.4,13.5,7.0,3.7,4.5,"$70,923,605 ","$80,482,110 "
2016,2017,Detroit Pistons,101.3,39.9,88.8,44.9,7.7,23.4,33.0,13.9,19.3,71.9,11.1,34.6,45.7,21.1,11.9,7.0,3.8,4.1,"$68,807,497 ","$76,802,817 "
2017,2018,Detroit Pistons,103.8,39.1,86.9,45.0,10.8,28.9,37.3,14.7,19.8,74.5,10.1,33.6,43.7,22.8,13.4,7.7,3.9,4.9,"$62,387,432 ","$68,436,097 "
2008,2009,Golden State Warriors,108.6,39.4,86.0,45.8,6.7,18.0,37.3,23.1,29.2,79.1,11.6,30.4,42.0,20.9,14.6,7.8,6.4,5.0,"$67,410,675 ","$72,445,049 "
2009,2010,Golden State Warriors,108.8,40.6,86.5,46.9,7.7,20.6,37.5,19.9,25.4,78.2,9.2,29.2,38.4,22.4,14.7,9.3,4.1,5.0,"$77,256,014 ","$82,923,025 "
2010,2011,Golden State Warriors,103.4,39.6,85.9,46.1,8.4,21.3,39.2,15.7,20.7,76.1,11.6,28.9,40.5,22.5,14.6,9.0,5.0,4.3,"$106,492,988 ","$113,175,909 "
2011,2012,Golden State Warriors,97.8,37.7,82.5,45.7,7.9,20.5,38.8,14.4,18.7,77.0,9.7,29.5,39.2,22.3,13.9,8.0,5.5,5.0,"$119,773,191 ","$125,243,666 "
2012,2013,Golden State Warriors,101.2,38.2,83.4,45.8,8.0,19.9,40.3,16.8,21.3,79.0,10.8,34.2,45.0,22.5,15.1,6.9,4.2,4.9,"$67,416,431 ","$78,917,097 "
2013,2014,Golden State Warriors,104.3,39.5,85.4,46.2,9.4,24.8,38.0,15.9,21.1,75.3,10.9,34.4,45.3,23.3,15.2,7.8,5.0,4.2,"$65,352,372 ","$77,608,224 "
2014,2015,Golden State Warriors,110.0,41.6,87.0,47.8,10.8,27.0,39.8,16.0,20.8,76.8,10.4,34.3,44.7,27.4,14.5,9.3,6.0,3.6,"$68,415,336 ","$80,398,723 "
2015,2016,Golden State Warriors,114.9,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10.0,36.2,46.2,28.9,15.2,8.4,6.1,4.1,"$61,576,901 ","$69,875,734 "
2016,2017,Golden State Warriors,115.9,43.1,87.1,49.5,12.0,31.2,38.3,17.8,22.6,78.8,9.4,35.0,44.4,30.4,14.8,9.6,6.8,3.8,"$70,036,985 ","$78,175,171 "
2017,2018,Golden State Warriors,113.5,42.8,85.1,50.3,11.3,28.9,39.1,16.6,20.3,81.5,8.4,35.1,43.5,29.3,15.4,8.0,7.5,3.7,"$72,503,122 ","$79,532,534 "
2008,2009,Houston Rockets,98.4,36.1,79.6,45.3,7.6,20.2,37.5,18.7,23.2,80.5,10.5,32.5,43.0,20.3,14.1,6.7,4.3,5.3,"$73,611,166 ","$79,108,608 "
2009,2010,Houston Rockets,102.4,37.7,84.4,44.7,7.9,22.4,35.1,19.0,24.7,77.2,11.8,30.1,42.0,21.8,14.5,7.1,3.9,6.5,"$93,669,566 ","$100,540,577 "
2010,2011,Houston Rockets,105.9,38.7,85.1,45.4,8.3,22.5,36.7,20.3,25.4,80.1,11.7,31.1,42.8,23.8,13.5,7.1,4.5,5.5,"$101,584,835 ","$107,959,743 "
2011,2012,Houston Rockets,98.1,37.7,84.0,44.9,7.2,20.2,35.9,15.4,19.7,78.2,11.7,30.5,42.2,21.3,14.5,7.5,4.8,5.2,"$137,610,134 ","$143,895,289 "
2012,2013,Houston Rockets,106.0,38.1,82.7,46.1,10.6,28.9,36.6,19.2,25.5,75.4,11.1,32.3,43.4,23.2,16.4,8.3,4.4,6.1,"$73,302,272 ","$85,807,014 "
2013,2014,Houston Rockets,107.7,38.0,80.5,47.2,9.5,26.6,35.8,22.1,31.1,71.2,11.2,34.1,45.3,21.4,16.1,7.6,5.6,5.6,"$69,095,315 ","$82,053,099 "
2014,2015,Houston Rockets,103.9,37.0,83.3,44.4,11.4,32.7,34.8,18.6,26.0,71.5,11.7,32.0,43.7,22.2,16.7,9.5,5.0,5.3,"$72,315,654 ","$84,982,206 "
2015,2016,Houston Rockets,106.5,37.7,83.5,45.2,10.7,30.9,34.7,20.4,29.4,69.4,11.3,31.7,43.1,22.2,15.9,10.0,5.2,4.9,"$57,021,755 ","$64,706,681 "
2016,2017,Houston Rockets,115.3,40.3,87.2,46.2,14.4,40.3,35.7,20.3,26.5,76.6,10.9,33.5,44.4,25.2,15.1,8.2,4.3,5.0,"$48,048,265 ","$53,631,389 "
2017,2018,Houston Rockets,112.4,38.7,84.2,46.0,15.3,42.3,36.2,19.6,25.1,78.1,9.0,34.5,43.5,21.5,13.8,8.5,4.8,4.4,"$57,823,063 ","$63,429,195 "
2008,2009,Indiana Pacers,105.1,39.3,86.3,45.5,8.0,21.0,37.8,18.6,23.0,80.7,11.3,32.5,43.7,21.6,14.5,7.0,5.3,5.4,"$76,849,302 ","$82,588,574 "
2009,2010,Indiana Pacers,100.8,36.8,83.2,44.3,8.0,23.1,34.8,19.1,24.6,77.5,9.6,31.9,41.5,21.1,15.0,7.1,5.4,5.0,"$87,504,058 ","$93,922,804 "
2010,2011,Indiana Pacers,99.8,36.6,82.8,44.2,7.1,20.2,35.4,19.4,24.8,78.2,11.1,32.4,43.5,19.6,15.4,7.1,5.6,5.7,"$90,956,067 ","$96,663,975 "
2011,2012,Indiana Pacers,97.7,35.7,81.4,43.8,5.9,16.1,36.8,20.4,26.1,78.2,12.5,31.4,43.9,18.6,14.0,7.9,5.4,6.0,"$119,905,532 ","$125,382,049 "
2012,2013,Indiana Pacers,94.7,35.1,80.6,43.6,6.9,19.7,34.7,17.6,23.6,74.6,12.9,33.0,45.9,20.3,15.1,7.2,6.3,5.7,"$69,668,818 ","$81,553,724 "
2013,2014,Indiana Pacers,96.7,36.0,80.2,44.9,6.7,18.8,35.7,18.1,23.3,77.9,10.2,34.5,44.7,20.1,15.1,6.7,5.4,4.6,"$66,733,257 ","$79,248,074 "
2014,2015,Indiana Pacers,97.3,36.6,83.2,43.9,7.5,21.2,35.2,16.7,22.2,75.6,10.4,34.4,44.9,21.4,14.0,6.2,4.6,4.7,"$65,088,630 ","$76,489,322 "
2015,2016,Indiana Pacers,102.2,38.3,85.2,45.0,8.1,23.0,35.1,17.4,22.8,76.4,10.3,33.9,44.2,21.2,14.9,9.0,4.8,4.5,"$51,554,083 ","$58,502,121 "
2016,2017,Indiana Pacers,105.1,39.3,84.5,46.5,8.6,23.0,37.6,17.9,22.1,81.0,9.0,33.0,42.0,22.5,13.8,8.2,5.0,5.0,"$66,107,195 ","$73,788,745 "
2017,2018,Indiana Pacers,105.6,40.8,86.4,47.2,9.0,24.5,36.9,14.9,19.2,77.9,9.6,32.7,42.3,22.2,13.3,8.8,4.1,5.2,"$67,182,414 ","$73,695,967 "
2015,2016,LA Clippers,104.5,38.3,82.4,46.5,9.7,26.7,36.4,18.2,26.2,69.2,8.8,33.3,42.0,22.8,13.0,8.6,5.6,3.2,"$74,793,526 ","$80,379,271 "
2016,2017,LA Clippers,108.7,39.5,83.2,47.5,10.3,27.4,37.5,19.3,26.0,74.5,9.0,34.0,43.0,22.5,13.0,7.5,4.2,3.1,"$71,605,233 ","$76,857,739 "
2017,2018,LA Clippers,109.0,40.3,85.4,47.1,9.5,26.8,35.4,19.0,25.5,74.3,10.1,33.7,43.9,22.3,14.7,7.7,4.5,5.6,"$90,279,072 ","$95,944,493 "
2008,2009,Los Angeles Clippers,95.1,36.0,81.7,44.1,6.5,18.5,35.4,16.5,22.4,73.6,10.9,29.0,39.8,21.0,14.9,7.0,5.9,5.0,"$95,271,736 ","$99,623,136 "
2009,2010,Los Angeles Clippers,95.7,36.6,80.5,45.5,5.9,17.8,33.2,16.6,22.8,73.0,11.3,30.5,41.8,22.1,15.7,6.5,5.7,4.4,"$62,764,206 ","$73,471,242 "
2010,2011,Los Angeles Clippers,98.6,36.8,80.4,45.7,6.3,18.5,33.8,18.9,26.7,70.7,11.6,30.5,42.1,22.1,16.4,7.1,4.9,4.9,"$61,616,409 ","$73,171,636 "
2011,2012,Los Angeles Clippers,97.5,37.0,81.3,45.5,7.8,21.8,35.7,15.8,23.3,68.0,12.1,29.4,41.6,21.0,13.3,8.4,4.8,4.5,"$53,225,329 ","$62,548,088 "
2012,2013,Los Angeles Clippers,101.1,38.5,80.6,47.8,7.6,21.4,35.8,16.4,23.0,71.1,11.4,30.2,41.6,23.9,14.6,9.6,5.6,4.1,"$67,333,389 ","$76,408,033 "
2013,2014,Los Angeles Clippers,107.9,39.1,82.5,47.4,8.5,24.0,35.2,21.2,29.1,73.0,10.5,32.5,43.0,24.6,13.9,8.6,4.8,3.5,"$69,152,721 ","$77,188,154 "
2014,2015,Los Angeles Clippers,106.7,39.4,83.3,47.3,10.1,26.9,37.6,17.9,25.2,71.0,9.6,33.1,42.6,24.8,12.3,7.8,5.0,3.0,"$73,049,774 ","$80,132,187 "
2008,2009,Los Angeles Lakers,106.9,40.3,85.1,47.4,6.7,18.5,36.1,19.6,25.5,77.0,12.4,31.5,43.9,23.3,13.5,8.8,5.1,4.8,"$85,259,447 ","$91,626,808 "
2009,2010,Los Angeles Lakers,101.7,38.3,83.8,45.7,6.5,19.0,34.1,18.5,24.2,76.5,11.9,32.5,44.3,21.1,13.4,7.5,4.9,4.4,"$97,019,321 ","$104,136,046 "
2010,2011,Los Angeles Lakers,101.5,38.1,82.4,46.3,6.4,18.1,35.2,18.8,24.1,77.9,12.1,31.9,44.0,22.0,13.1,7.3,5.1,4.5,"$114,756,766 ","$121,958,281 "
2011,2012,Los Angeles Lakers,97.3,36.8,80.6,45.7,5.5,16.8,32.6,18.2,24.1,75.6,12.1,34.1,46.2,22.5,15.1,5.9,5.3,4.6,"$119,093,010 ","$124,532,419 "
2012,2013,Los Angeles Lakers,102.2,37.1,81.0,45.8,8.7,24.6,35.5,19.3,27.9,69.2,11.5,33.3,44.8,22.2,15.0,7.0,5.2,4.8,"$78,245,793 ","$91,593,858 "
2013,2014,Los Angeles Lakers,103.0,38.3,85.1,45.0,9.4,24.8,38.1,17.0,22.4,75.7,9.1,32.0,41.0,24.5,15.1,7.5,5.4,4.7,"$91,378,064 ","$108,514,646 "
2014,2015,Los Angeles Lakers,98.5,37.2,85.6,43.5,6.5,18.9,34.4,17.5,23.6,74.1,11.6,32.3,43.9,20.9,13.2,7.0,4.5,4.8,"$91,428,140 ","$107,442,371 "
2015,2016,Los Angeles Lakers,97.3,35.1,84.8,41.4,7.8,24.6,31.7,19.3,24.7,78.1,10.7,32.3,43.0,18.0,13.7,7.2,4.1,5.6,"$88,264,478 ","$100,160,046 "
2016,2017,Los Angeles Lakers,104.6,39.3,87.4,45.0,8.9,25.7,34.6,17.0,22.6,75.4,11.4,32.1,43.5,20.9,15.2,8.2,3.9,5.4,"$100,131,988 ","$111,767,168 "
2017,2018,Los Angeles Lakers,108.1,40.7,88.4,46.1,10.0,29.1,34.5,16.6,23.3,71.4,10.7,35.7,46.4,23.8,15.8,7.7,4.7,5.5,"$77,423,614 ","$84,930,083 "
2008,2009,Memphis Grizzlies,93.9,34.9,77.0,45.4,4.9,13.5,36.0,19.1,25.3,75.6,10.3,28.5,38.8,17.4,15.3,7.5,4.7,5.4,"$77,546,500 ","$83,337,839 "
2009,2010,Memphis Grizzlies,102.5,39.3,83.8,46.9,4.2,12.4,33.7,19.7,26.9,73.3,13.0,30.4,43.5,18.8,15.2,7.9,4.9,6.1,"$72,694,352 ","$78,026,750 "
2010,2011,Memphis Grizzlies,99.9,39.0,82.9,47.1,3.8,11.3,33.4,18.1,24.2,75.0,11.8,29.2,41.0,20.6,14.0,9.4,5.4,6.2,"$94,781,848 ","$100,729,840 "
2011,2012,Memphis Grizzlies,95.0,36.7,82.2,44.7,4.2,12.9,32.6,17.3,22.8,75.9,12.6,29.5,42.0,19.5,14.5,9.6,5.2,5.5,"$103,126,557 ","$107,836,717 "
2012,2013,Memphis Grizzlies,93.4,36.1,81.5,44.4,4.7,13.5,34.5,16.5,21.3,77.3,12.9,29.8,42.7,20.9,14.0,8.6,5.3,5.5,"$55,958,148 ","$65,504,128 "
