Season,Team,W,L,W/L%,Playoffs
2013-14,Los Angeles Clippers,57,25,0.695,Lost W. Conf. Semis
2012-13,Los Angeles Clippers,56,26,0.683,Lost W. Conf. 1st Rnd.
2011-12,Los Angeles Clippers,40,26,0.606,Lost W. Conf. Semis
2010-11,Los Angeles Clippers,32,50,0.39,
2009-10,Los Angeles Clippers,29,53,0.354,
2008-09,Los Angeles Clippers,19,63,0.232,
2017-18,Phoenix Suns,14,23,0.378,
2016-17,Phoenix Suns,24,58,0.293,
2015-16,Phoenix Suns,23,59,0.28,
2014-15,Phoenix Suns,39,43,0.476,
2013-14,Phoenix Suns,48,34,0.585,
2012-13,Phoenix Suns,25,57,0.305,
2011-12,Phoenix Suns,33,33,0.5,
2010-11,Phoenix Suns,40,42,0.488,
2009-10,Phoenix Suns,54,28,0.659,Lost W. Conf. Finals
2008-09,Phoenix Suns,46,36,0.561,
2017-18,Sacramento Kings,12,23,0.343,
2016-17,Sacramento Kings,32,50,0.39,
2015-16,Sacramento Kings,33,49,0.402,
2014-15,Sacramento Kings,29,53,0.354,
2013-14,Sacramento Kings,28,54,0.341,
2012-13,Sacramento Kings,28,54,0.341,
2011-12,Sacramento Kings,22,44,0.333,
2010-11,Sacramento Kings,24,58,0.293,
2009-10,Sacramento Kings,25,57,0.305,
2008-09,Sacramento Kings,17,65,0.207,
2017-18,Los Angeles Lakers,11,23,0.324,
2016-17,Los Angeles Lakers,26,56,0.317,
2015-16,Los Angeles Lakers,17,65,0.207,
2014-15,Los Angeles Lakers,21,61,0.256,
2013-14,Los Angeles Lakers,27,55,0.329,
2012-13,Los Angeles Lakers,45,37,0.549,Lost W. Conf. 1st Rnd.
2011-12,Los Angeles Lakers,41,25,0.621,Lost W. Conf. Semis
2010-11,Los Angeles Lakers,57,25,0.695,Lost W. Conf. Semis
2009-10,Los Angeles Lakers,57,25,0.695,Won Finals
2008-09,Los Angeles Lakers,65,17,0.793,Won Finals
2017-18,Washington Wizards,20,16,0.556,
2016-17,Washington Wizards,49,33,0.598,Lost E. Conf. Semis
2015-16,Washington Wizards,41,41,0.5,
2014-15,Washington Wizards,46,36,0.561,Lost E. Conf. Semis
2013-14,Washington Wizards,44,38,0.537,Lost E. Conf. Semis
2012-13,Washington Wizards,29,53,0.354,
2011-12,Washington Wizards,20,46,0.303,
2010-11,Washington Wizards,23,59,0.28,
2009-10,Washington Wizards,26,56,0.317,
2008-09,Washington Wizards,19,63,0.232,
2017-18,Miami Heat,18,17,0.514,
2016-17,Miami Heat,41,41,0.5,
2015-16,Miami Heat,48,34,0.585,Lost E. Conf. Semis
2014-15,Miami Heat,37,45,0.451,
2013-14,Miami Heat,54,28,0.659,Lost Finals
2012-13,Miami Heat,66,16,0.805,Won Finals
2011-12,Miami Heat,46,20,0.697,Won Finals
2010-11,Miami Heat,58,24,0.707,Lost Finals
2009-10,Miami Heat,47,35,0.573,Lost E. Conf. 1st Rnd.
2008-09,Miami Heat,43,39,0.524,Lost E. Conf. 1st Rnd.
2017-18,Charlotte Hornets,13,22,0.371,
2016-17,Charlotte Hornets,36,46,0.439,
2015-16,Charlotte Hornets,48,34,0.585,Lost E. Conf. 1st Rnd.
2014-15,Charlotte Hornets,33,49,0.402,
2013-14,Charlotte Hornets,43,39,0.524,Lost E. Conf. 1st Rnd.
2012-13,Charlotte Hornets,21,61,0.256,
2011-12,Charlotte Hornets,7,59,0.106,
2010-11,Charlotte Hornets,34,48,0.415,
2009-10,Charlotte Hornets,44,38,0.537,Lost E. Conf. 1st Rnd.
2008-09,Charlotte Hornets,35,47,0.427,
2017-18,Orlando Magic,12,24,0.333,
2016-17,Orlando Magic,29,53,0.354,
2015-16,Orlando Magic,35,47,0.427,
2014-15,Orlando Magic,25,57,0.305,
